,Kind,Name,Category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
25,subregion,Anderson County,Grocery & pharmacy,0.42,0.72,2.22,5.65,0.12,2.0,5.12,3.14,-4.12,7.32,7.81,7.84,9.36,10.49,12.66,6.75,13.52,11.12,5.29,11.31,9.1,10.59,9.0,14.22,11.79,18.45,28.52,19.29,31.2,28.88,26.21,18.07,18.65,18.24,11.76,-4.95,-6.9,-4.68,0.4,2.88,5.64,5.48,-2.8
26,subregion,Anderson County,Parks,-22.23,26.55,-11.48,-10.45,-34.33,23.72,29.15,9.86,-29.69,6.55,16.4,4.46,30.5,31.93,27.15,14.05,13.1,19.39,-11.95,42.36,58.32,46.9,46.87,37.69,55.21,37.3,,68.04,16.04,-18.76,-0.01,-16.42,10.43,50.83,54.16,-30.88,-45.32,-47.55,5.96,10.43,42.36,52.77,-1.25
27,subregion,Anderson County,Transit stations,7.34,5.58,-4.11,-0.46,-3.54,2.56,-0.55,3.39,3.72,4.1,5.88,2.65,8.97,17.74,16.38,6.51,4.56,3.62,0.44,5.13,15.58,24.29,7.44,4.1,5.43,11.94,7.26,12.36,6.78,4.18,4.56,,1.76,3.84,1.08,-12.43,-7.44,-5.93,-0.91,-1.77,-3.85,-13.98,-19.78
28,subregion,Anderson County,Workplace,-0.76,-11.46,0.0,1.42,-1.14,-10.36,5.85,2.45,1.44,1.4,1.27,1.24,1.22,3.75,2.14,2.29,0.43,0.69,-1.3,0.11,6.4,1.69,1.06,-0.76,0.05,-0.91,-0.47,4.18,-3.07,-10.95,-15.88,-20.47,-21.22,-25.0,-13.51,-26.18,-28.6,-31.38,-30.96,-30.72,-32.87,-23.68,-34.31
29,subregion,Anderson County,Residential,0.61,3.09,1.98,0.68,4.01,2.92,-0.56,-0.7,1.79,0.07,-1.33,-0.7,-2.46,-2.7,-1.42,-0.15,0.46,-0.3,1.98,-2.43,-1.84,-1.2,-0.46,0.4,-0.95,-0.06,-1.9,0.13,0.89,4.92,7.47,8.86,9.7,9.09,6.55,8.24,13.69,15.39,12.66,13.31,12.53,8.22,8.49
30,subregion,Bamberg County,Retail & recreation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,subregion,Bamberg County,Grocery & pharmacy,-12.05,-2.75,-0.96,12.15,0.9,1.61,-16.0,4.81,5.5,4.76,13.08,14.41,10.48,13.59,41.56,22.01,15.23,9.34,-12.61,10.48,7.99,14.46,12.84,16.18,13.08,19.82,20.15,19.99,55.42,28.43,28.56,28.04,19.82,15.32,16.0,1.21,7.34,-0.96,6.54,5.41,4.03,-5.61,2.41
32,subregion,Bamberg County,Parks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,subregion,Bamberg County,Transit stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,subregion,Bamberg County,Workplace,,-18.09,-0.99,1.92,-2.89,2.07,,,7.44,-0.01,4.8,5.76,3.12,,,7.44,-0.99,-2.89,-3.86,9.36,,,7.44,2.93,2.88,-0.97,-1.05,,,-2.14,-7.85,-12.51,-18.28,-19.8,-11.64,,-14.9,-21.58,-22.13,-25.96,-31.26,-25.59,
35,subregion,Bamberg County,Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,subregion,Barnwell County,Retail & recreation,-7.1,-8.14,-6.55,-3.22,-9.17,-1.77,2.09,-2.37,-12.45,3.26,12.84,19.16,16.9,14.7,15.38,18.17,18.22,7.33,-1.67,10.55,15.96,15.97,9.08,5.6,8.71,7.08,9.5,5.87,3.54,2.87,-2.81,-12.86,-9.59,-19.37,-10.93,-27.81,-27.76,-30.84,-23.86,-24.59,-24.65,-8.41,-23.08
37,subregion,Barnwell County,Grocery & pharmacy,-8.34,-8.22,-1.6,-6.72,-14.08,-5.45,4.91,-0.01,-8.96,-3.18,-5.98,2.95,8.16,11.47,7.28,2.98,11.9,-3.74,-0.75,0.67,8.19,1.03,-0.01,-0.81,1.49,4.44,14.96,7.37,34.37,8.2,19.04,11.93,18.51,17.68,28.68,10.41,-6.72,-12.7,-1.5,2.21,-2.73,22.94,11.45
38,subregion,Barnwell County,Parks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,subregion,Barnwell County,Transit stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,subregion,Barnwell County,Workplace,3.7,-22.88,-1.2,-3.53,-2.42,-0.68,0.0,-3.71,1.96,-1.2,,1.2,1.34,6.06,0.0,7.19,-0.6,-3.53,-1.21,-0.68,0.0,3.7,4.57,0.59,0.0,-2.42,-0.68,-1.52,3.7,-3.92,-10.78,-14.7,-17.47,-18.13,-13.64,-27.78,-20.91,-26.35,-25.3,-27.11,-26.85,-15.15,-24.07
41,subregion,Barnwell County,Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,subregion,Beaufort County,Retail & recreation,13.29,11.36,7.78,7.09,-1.92,7.54,7.89,11.88,5.92,9.41,12.51,17.14,15.93,21.04,20.37,15.09,13.78,3.71,3.07,14.39,12.99,18.67,16.64,15.48,18.22,19.13,14.95,14.63,12.96,6.15,-2.56,-15.83,-21.12,-25.03,-31.99,-38.59,-32.2,-32.72,-33.84,-33.89,-35.28,-37.92,-37.52
43,subregion,Beaufort County,Grocery & pharmacy,2.81,0.22,-1.7,0.33,-7.64,3.73,3.49,3.08,1.58,1.7,3.16,7.98,9.13,11.57,8.45,9.6,7.36,-3.63,-5.21,10.07,7.52,9.62,6.77,8.15,14.48,26.9,30.21,28.81,33.33,32.42,21.63,14.93,6.2,11.0,3.49,-8.34,-9.27,-8.15,-7.36,-9.86,-7.06,-10.05,-15.51
44,subregion,Beaufort County,Parks,-12.44,39.76,-13.66,20.69,-26.55,4.2,31.62,28.71,11.11,-8.74,-8.04,22.59,27.88,55.6,45.92,44.44,14.75,-25.87,-31.64,39.46,60.71,37.31,58.48,44.8,72.98,79.09,83.14,120.4,57.41,28.65,34.42,47.12,78.52,71.04,44.38,-33.5,-18.14,-4.92,-2.3,-9.61,7.89,20.91,1.44
45,subregion,Beaufort County,Transit stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.47,,,-38.9,,-48.65,-39.48,-31.83,,
46,subregion,Beaufort County,Workplace,-1.55,-21.35,-1.94,0.76,-1.25,1.43,2.72,2.3,1.82,0.61,1.45,2.95,2.7,2.55,4.24,2.06,1.38,-0.77,-1.95,3.66,3.84,1.72,-0.08,-0.47,0.07,0.92,0.39,-0.01,-4.05,-11.07,-16.69,-23.42,-25.32,-27.32,-25.0,-37.0,-32.09,-35.46,-35.59,-36.49,-35.07,-30.61,-39.5
47,subregion,Beaufort County,Residential,0.68,4.05,2.69,0.79,2.78,1.56,-0.34,-0.28,-0.15,1.38,0.9,-1.07,-0.66,-3.16,-1.51,-0.95,-0.27,3.32,4.48,-0.17,-2.07,-0.37,-0.61,-0.29,-0.27,-0.84,-0.01,-0.93,1.36,4.8,6.97,9.24,9.88,12.26,7.91,9.92,12.3,13.24,14.18,13.88,15.5,9.55,9.81
48,subregion,Berkeley County,Retail & recreation,1.16,7.93,-5.12,-0.13,-8.51,0.32,0.94,5.15,-1.1,1.94,7.13,9.66,9.36,11.23,12.84,8.16,10.48,3.4,-4.21,5.92,5.11,7.5,6.32,6.0,8.26,10.06,10.08,3.34,5.13,2.56,-3.85,-13.03,-17.87,-21.94,-26.63,-34.13,-28.15,-29.19,-23.64,-27.92,-27.69,-32.46,-32.31
49,subregion,Berkeley County,Grocery & pharmacy,-1.58,-0.27,-7.87,-2.71,-9.55,1.42,-0.24,2.81,0.9,0.24,-2.78,2.47,4.19,2.67,9.18,7.27,8.62,-0.38,-5.84,6.31,4.2,6.81,7.14,7.86,6.14,17.21,26.58,20.38,28.06,28.72,19.03,12.35,12.07,10.04,5.63,-5.98,-6.2,-5.78,-3.57,-8.62,-8.96,-7.24,-10.3
50,subregion,Berkeley County,Parks,-4.65,12.49,-14.13,-31.07,-33.34,,-7.49,15.11,2.26,-5.44,-25.24,10.74,3.05,20.55,15.11,18.17,11.95,-23.31,-31.19,5.1,16.82,32.55,22.72,23.9,20.38,44.08,31.62,35.5,25.58,12.49,7.6,8.73,25.79,22.44,32.7,1.15,-3.42,-9.79,-8.74,16.12,12.24,16.82,46.5
51,subregion,Berkeley County,Transit stations,-2.66,0.0,-1.88,-2.39,-4.24,7.26,3.68,5.3,-0.6,-3.12,-2.99,9.69,13.41,10.29,6.19,2.98,-3.12,-5.99,-9.09,1.67,-0.74,10.62,-4.76,-2.5,-8.38,-33.94,-34.64,-38.23,-36.29,-42.26,-39.37,-43.71,-42.42,-37.99,-47.06,-50.45,-48.81,-42.5,-49.7,-49.09,-50.28,-48.53,-53.09
52,subregion,Berkeley County,Workplace,0.0,-21.48,2.06,-0.5,-1.84,1.93,3.86,5.4,2.86,2.92,0.21,1.96,1.3,3.97,3.87,3.6,2.63,-0.34,-2.29,2.29,2.39,1.79,0.83,1.94,0.26,0.72,-6.34,2.05,0.13,-9.14,-13.85,-21.18,-24.03,-25.97,-15.91,-26.04,-31.32,-34.15,-36.19,-37.39,-37.42,-25.91,-32.28
53,subregion,Berkeley County,Residential,0.15,4.51,1.42,1.79,3.45,0.26,-1.05,-0.51,-0.18,1.22,0.77,-0.96,-1.69,-2.66,-1.75,-1.57,0.15,1.85,4.52,-1.19,-1.49,-0.87,-0.79,-0.09,-0.56,-0.77,0.15,-0.93,0.68,4.41,7.45,9.88,11.38,12.28,7.52,9.26,13.53,16.36,15.57,16.86,16.91,9.76,9.41
54,subregion,Calhoun County,Retail & recreation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-45.0,-23.27,,,-48.65,-57.5,-50.0,-52.5,-9.3,,
55,subregion,Calhoun County,Grocery & pharmacy,,-4.45,,4.34,,-6.52,-12.77,,-11.12,,-13.05,,,,,-8.9,,-0.01,,,,,,,4.34,,,,,,,,,8.69,12.76,,-6.67,,-15.22,,8.69,12.76,
56,subregion,Calhoun County,Parks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,subregion,Calhoun County,Transit stations,28.56,29.88,5.25,-3.76,2.4,10.51,4.43,15.57,-14.96,2.62,3.74,14.45,26.3,14.44,23.37,17.23,6.56,-6.26,20.47,30.52,22.21,25.96,-2.3,7.89,6.23,26.5,14.73,12.22,32.46,4.59,11.83,2.49,-2.42,-5.28,-18.9,-18.19,-27.59,-21.07,-26.26,-27.71,-32.63,-45.56,-46.76
58,subregion,Calhoun County,Workplace,,-19.18,3.27,-0.01,-1.64,-2.66,,,-1.68,0.81,-0.81,-2.45,-0.89,,,-0.84,-0.01,-0.01,-3.27,-3.55,,,-1.68,-2.47,-0.81,-9.76,-14.17,-2.28,,-10.84,-14.76,-20.01,-19.53,-23.9,-15.92,-30.01,-28.34,-31.16,-28.81,-26.02,-30.1,-20.47,-32.5
59,subregion,Calhoun County,Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,subregion,Charleston County,Retail & recreation,7.03,6.76,-2.99,-0.33,-7.41,2.74,5.37,7.58,0.33,5.01,7.66,10.48,10.0,10.86,15.48,7.93,8.18,0.97,-3.92,8.57,7.21,10.72,6.86,8.45,7.73,9.12,6.74,-0.15,0.5,-2.1,-9.85,-22.18,-25.99,-32.09,-43.47,-46.59,-38.27,-38.67,-37.19,-41.31,-43.92,-50.4,-47.78
61,subregion,Charleston County,Grocery & pharmacy,-0.14,3.68,-3.9,0.15,-8.97,-2.09,-1.72,0.31,-4.45,-3.78,-0.51,2.9,1.39,3.4,7.16,3.42,3.21,-4.2,-11.43,4.91,4.81,5.36,2.63,4.06,6.53,12.31,20.08,14.41,16.37,18.34,12.06,3.76,0.85,0.45,-12.72,-19.1,-16.0,-15.17,-13.75,-20.89,-20.36,-23.72,-24.92
62,subregion,Charleston County,Parks,15.66,29.05,-13.75,-13.97,-31.78,-17.98,5.59,12.34,-9.39,-17.7,-27.14,-6.26,-3.54,18.82,23.88,6.49,6.52,-22.31,-33.24,26.26,33.69,45.4,39.34,30.23,32.26,27.43,38.7,41.19,18.67,-1.81,-7.74,-2.73,13.47,1.38,-11.47,-43.36,-35.38,-42.44,-34.35,-42.06,-35.18,-34.79,-34.98
63,subregion,Charleston County,Transit stations,-3.31,5.24,7.09,2.05,2.12,6.12,22.16,1.54,1.9,6.91,15.67,31.81,8.49,1.65,11.03,20.95,7.45,2.55,-2.94,7.86,21.95,-2.42,3.17,5.49,4.93,14.84,-0.16,-10.14,-14.35,-12.22,-15.25,-26.74,-30.67,-38.52,-41.4,-56.95,-49.68,-48.05,-49.06,-51.39,-52.51,-57.35,-62.47
64,subregion,Charleston County,Workplace,0.08,-20.26,0.52,-0.24,-1.72,0.38,3.46,4.05,1.78,0.3,0.11,0.83,0.34,3.38,3.96,2.4,1.03,-0.53,-3.39,1.47,3.31,3.02,0.78,0.33,-0.27,-0.81,-1.32,1.94,-3.88,-12.34,-18.96,-27.44,-30.93,-32.66,-25.29,-35.08,-38.86,-42.45,-43.51,-45.05,-45.17,-35.95,-41.81
65,subregion,Charleston County,Residential,-0.06,4.34,2.11,2.0,3.52,0.23,-0.79,-0.88,0.56,1.28,0.55,-0.88,-1.41,-2.64,-1.91,-0.72,0.27,2.41,4.39,-1.56,-1.52,-1.14,-0.46,-0.28,-0.3,-0.47,-0.81,-0.46,1.17,5.35,8.38,11.28,12.52,13.66,9.35,10.77,15.75,18.16,17.68,18.75,19.16,11.94,10.98
66,subregion,Cherokee County,Retail & recreation,3.23,0.13,-4.45,5.67,-12.47,2.28,3.58,3.52,-10.22,3.58,18.78,14.3,18.6,20.33,28.04,13.21,10.32,14.26,8.39,9.02,11.58,12.62,4.36,3.58,11.49,8.78,9.9,2.21,0.44,-3.82,-11.77,-16.45,-21.66,-26.66,-34.83,-38.33,-38.01,-35.73,-28.39,-29.66,-28.4,-38.25,-37.3
67,subregion,Cherokee County,Grocery & pharmacy,-2.71,2.56,-5.35,10.33,5.08,-4.03,-0.73,-1.09,-6.15,3.47,8.22,9.13,8.95,8.41,13.23,5.64,12.83,10.33,7.1,4.25,8.17,10.53,3.84,7.75,8.75,13.19,20.58,14.65,20.26,18.46,17.91,18.3,18.01,12.75,13.21,-4.6,-1.8,-1.07,3.17,-2.03,4.03,9.13,-3.24
68,subregion,Cherokee County,Parks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,subregion,Cherokee County,Transit stations,0.36,-0.01,-3.98,1.81,0.87,-4.8,1.1,-3.03,-4.83,5.48,4.54,7.84,9.0,4.42,18.1,-0.91,0.3,1.81,2.31,5.91,10.68,18.48,4.81,9.13,11.81,8.42,12.95,16.96,13.95,5.71,9.44,9.08,7.25,-1.7,-5.91,-12.46,-9.95,-7.02,-1.53,-9.6,-13.25,-12.56,-20.01
70,subregion,Cherokee County,Workplace,-2.34,-0.22,0.38,1.13,-2.89,-4.18,-0.5,5.81,4.87,2.89,4.36,0.38,2.29,0.97,4.06,5.27,2.11,3.04,1.72,3.33,3.87,7.55,7.52,3.28,3.23,1.34,-0.22,-2.93,-0.01,0.8,-4.26,-8.01,-13.09,-15.04,-15.05,-18.62,-17.49,-19.15,-19.82,-24.24,-25.26,-14.57,-24.42
71,subregion,Cherokee County,Residential,,0.22,1.15,-0.49,5.7,4.09,0.98,,0.86,-0.2,-2.23,-0.91,-1.44,-1.44,,-1.96,-0.61,-0.83,1.17,-0.96,-0.9,,-0.9,0.19,-0.97,-0.44,-1.25,,,1.99,4.77,5.35,6.74,7.05,,,10.84,11.37,9.39,11.08,11.2,,
72,subregion,Chester County,Retail & recreation,1.4,8.27,-0.68,-1.85,-9.43,0.46,9.78,9.18,3.1,7.37,12.84,12.57,15.48,17.39,24.37,25.85,19.45,10.7,2.56,10.32,13.58,17.31,15.51,16.1,9.47,11.13,8.44,7.33,7.77,6.54,-7.05,-14.68,-18.01,-15.5,-14.96,-26.86,-30.35,-30.21,-23.55,-31.15,-29.12,-25.55,-29.33
73,subregion,Chester County,Grocery & pharmacy,-7.75,3.72,0.31,-1.82,1.22,-5.53,3.13,-2.59,-0.01,3.48,2.42,1.22,9.38,2.84,-0.01,9.93,8.56,-6.07,3.06,-1.67,-2.86,-1.94,9.93,9.2,1.2,12.87,24.3,25.13,24.5,26.7,28.24,15.75,15.94,25.4,22.84,3.22,4.34,-2.86,3.63,3.68,8.28,9.7,3.86
74,subregion,Chester County,Parks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,subregion,Chester County,Transit stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,subregion,Chester County,Workplace,-0.95,-6.5,2.82,0.69,3.88,-0.38,6.08,11.32,3.61,4.23,5.51,7.78,1.89,10.43,3.77,2.89,4.59,3.45,2.47,3.78,6.08,5.65,5.41,4.23,5.51,4.23,2.26,1.74,-3.78,-5.06,-8.48,-13.8,-15.91,-18.56,-6.96,-21.7,-23.1,-22.97,-23.1,-25.44,-26.14,-18.26,-25.47
77,subregion,Chester County,Residential,,2.14,1.36,0.67,4.39,3.24,,,1.67,0.69,-1.38,-1.07,-3.18,,,-1.14,0.72,0.45,2.74,-2.08,,,-1.43,-1.18,-1.69,-0.91,-2.15,,,4.94,6.94,7.58,9.8,7.99,,,12.64,13.76,11.69,13.79,,,
78,subregion,Chesterfield County,Retail & recreation,0.62,-3.33,3.01,-5.29,-6.0,-0.43,8.53,6.82,-4.17,10.68,12.7,19.5,20.0,32.26,25.77,11.94,17.8,7.93,3.5,8.48,21.06,19.87,7.49,12.32,11.9,12.25,12.61,15.33,13.04,-5.56,-8.77,-14.03,-12.0,-17.17,-10.93,-32.3,-27.22,-26.31,-25.14,-26.25,-28.04,-20.81,-33.54
79,subregion,Chesterfield County,Grocery & pharmacy,5.72,7.24,1.09,1.04,6.91,-4.96,-0.34,12.71,3.26,-1.82,3.83,5.53,10.21,10.16,14.4,9.42,11.64,6.97,3.46,8.05,9.5,18.65,13.04,13.45,10.44,17.3,21.66,15.08,30.92,19.56,12.36,7.32,12.46,12.07,8.85,9.32,-0.37,-1.09,-0.7,-2.77,-8.67,4.59,2.54
80,subregion,Chesterfield County,Parks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,subregion,Chesterfield County,Transit stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,subregion,Chesterfield County,Workplace,2.55,-1.61,3.49,1.84,-0.95,-2.35,6.86,5.12,3.85,3.17,3.07,2.5,3.66,12.97,4.27,3.21,3.17,1.53,1.86,1.33,4.57,7.68,3.21,3.17,2.76,0.93,-10.71,-1.54,2.55,-6.44,-7.97,-12.63,-14.69,-18.74,-0.01,-16.25,-18.98,-17.84,-24.32,-26.26,-29.1,-18.33,-25.65
83,subregion,Chesterfield County,Residential,,0.58,0.47,3.61,5.09,4.97,,,1.75,-0.06,-1.71,-1.89,-2.56,,,-2.26,-0.05,0.78,3.47,-0.82,,,-2.0,-0.74,-0.23,-1.44,1.1,,,1.69,4.76,6.0,6.2,7.98,,,9.65,9.96,10.82,11.22,12.74,,
84,subregion,Clarendon County,Retail & recreation,8.54,10.19,8.86,5.41,-7.8,8.25,2.1,10.25,-0.01,10.07,18.21,16.94,25.65,24.99,31.19,17.25,27.41,13.94,3.38,13.56,16.86,25.63,13.32,15.31,20.54,12.53,20.35,21.07,28.63,9.8,4.43,-8.14,-17.3,-11.51,-15.67,-25.65,-25.89,-29.85,-21.33,-26.45,-25.38,-18.98,-23.08
85,subregion,Clarendon County,Grocery & pharmacy,-3.43,-4.3,-1.92,-3.07,-17.61,-0.55,-4.63,-5.49,-4.3,2.54,3.68,7.54,12.96,15.59,11.64,7.96,19.1,0.6,4.4,9.72,9.82,8.21,5.51,10.82,14.72,18.23,29.72,24.85,23.96,23.92,24.83,16.56,22.0,18.37,15.03,-5.49,-1.23,-1.92,-1.23,3.14,3.77,6.35,-2.07
86,subregion,Clarendon County,Parks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,subregion,Clarendon County,Transit stations,,9.43,-9.43,0.0,-14.55,6.66,5.65,,-9.43,0.0,10.9,12.73,-8.34,-5.66,,5.65,1.88,-12.72,-3.64,13.33,0.0,,-3.78,0.0,-5.45,10.9,14.99,-3.78,,-1.89,1.88,14.54,20.0,10.0,13.2,,-7.55,3.77,-10.91,-9.09,-23.33,-15.1,-11.63
88,subregion,Clarendon County,Workplace,-5.56,-20.86,1.61,-4.74,-4.71,-2.26,8.24,5.56,-1.07,1.61,-1.58,-2.1,2.25,1.17,4.17,0.53,-0.55,-1.06,-5.23,1.7,3.52,1.39,1.06,0.54,-3.16,-2.1,-1.69,2.35,1.39,-12.3,-12.9,-18.95,-19.37,-19.21,-10.59,-22.23,-26.74,-26.35,-29.48,-31.41,-30.52,-21.18,-27.78
89,subregion,Clarendon County,Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
